Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
3,nav2,1768529515186415929,1768529515841779474,1768529515841822473,1768529515844257896,655.3635,0.0430,2.4354,657.8420,0.200000,0.000000
5,nav2,1768529515313740030,1768529515882907324,1768529515882936305,1768529515900866321,569.1673,0.0290,17.9300,587.1263,0.200000,0.000000
6,nav2,1768529515336206242,1768529515887476091,1768529515887506572,1768529515902103886,551.2698,0.0305,14.5973,565.8976,0.200000,0.000000
7,nav2,1768529515388721098,1768529515889301228,1768529515889325820,1768529515902796326,500.5801,0.0246,13.4705,514.0752,0.200000,0.000000
8,nav2,1768529515452452310,1768529515896276202,1768529515896307239,1768529515910879499,443.8239,0.0310,14.5723,458.4272,0.200000,0.000000
9,nav2,1768529515495067337,1768529515898407337,1768529515898434355,1768529515914932321,403.3400,0.0270,16.4980,419.8650,0.200000,0.000000
10,nav2,1768529515536535428,1768529515900021363,1768529515900043326,1768529515915427511,363.4859,0.0220,15.3842,378.8921,0.200000,0.000000
11,nav2,1768529515620327354,1768529515900495360,1768529515900513990,1768529515915902846,280.1680,0.0186,15.3889,295.5755,0.200000,0.000000
12,nav2,1768529515660994353,1768529515960443443,1768529515960505054,1768529515970517746,299.4491,0.0616,10.0127,309.5234,0.200000,0.000000
13,nav2,1768529515680610165,1768529515962139117,1768529515962192191,1768529515971606622,281.5290,0.0531,9.4144,290.9965,0.200000,0.000000
14,nav2,1768529515760833544,1768529515965858705,1768529515965911575,1768529515975826885,205.0252,0.0529,9.9153,214.9933,0.200000,0.000000
15,nav2,1768529515791117229,1768529515967015383,1768529515967061531,1768529515976571107,175.8982,0.0461,9.5096,185.4539,0.200000,0.000000
16,nav2,1768529515842720551,1768529515972340497,1768529515972398497,1768529515979083317,129.6199,0.0580,6.6848,136.3628,0.200000,0.000000
17,nav2,1768529515901450962,1768529515978672494,1768529515978723808,1768529515982180539,77.2215,0.0513,3.4567,80.7296,0.200000,0.000000
18,nav2,1768529515941745374,1768529515979812672,1768529515979850357,1768529515983197548,38.0673,0.0377,3.3472,41.4522,0.200000,0.000000
19,nav2,1768529515992286153,1768529516017256768,1768529516017310508,1768529516028072301,24.9706,0.0537,10.7618,35.7861,0.200000,0.000000
21,nav2,1768529516101692239,1768529516923157427,1768529516923224704,1768529516935801704,821.4652,0.0673,12.5770,834.1095,0.200000,0.000000
22,nav2,1768529516324197479,1768529516937520206,1768529516937657131,1768529516939657014,613.3227,0.1369,1.9999,615.4595,0.000000,0.000000
23,nav2,1768529516508273744,1768529516940510317,1768529516940630890,1768529516943152117,432.2366,0.1206,2.5212,434.8784,0.200000,0.000000
24,nav2,1768529516589682423,1768529516948569821,1768529516948699561,1768529516952726409,358.8874,0.1297,4.0268,363.0440,0.200000,0.000000
25,nav2,1768529516623227494,1768529516958385925,1768529516958492851,1768529516969510000,335.1584,0.1069,11.0171,346.2825,0.200000,0.000000
26,nav2,1768529516695421791,1768529516962141179,1768529516962265827,1768529516970026998,266.7194,0.1246,7.7612,274.6052,0.200000,0.000000
27,nav2,1768529516746971308,1768529516975842389,1768529516975880574,1768529516980561956,228.8711,0.0382,4.6814,233.5906,0.200000,0.000000
28,nav2,1768529516810544526,1768529516978767352,1768529516978855536,1768529516981046888,168.2228,0.0882,2.1914,170.5024,0.200000,0.000000
