Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
43,nav2,1768528722744448039,1768528722793399512,1768528722793450345,1768528722805426182,48.9515,0.0508,11.9758,60.9781,0.200000,0.000000
44,nav2,1768528722796408525,1768528722832627059,1768528722832677855,1768528722844997864,36.2185,0.0508,12.3200,48.5893,0.200000,0.000000
45,nav2,1768528722840646936,1768528722892618549,1768528722892675900,1768528722898356351,51.9716,0.0574,5.6805,57.7094,0.200000,0.000000
46,nav2,1768528722903962235,1768528722934838170,1768528722934872503,1768528722963822992,30.8759,0.0343,28.9505,59.8608,0.200000,0.000000
47,nav2,1768528722968400515,1768528723036324952,1768528723036377729,1768528723047524629,67.9244,0.0528,11.1469,79.1241,0.200000,0.000000
48,nav2,1768528722991632621,1768528723047405789,1768528723047459585,1768528723048867082,55.7732,0.0538,1.4075,57.2345,0.200000,0.000000
49,nav2,1768528723045534486,1768528723112888910,1768528723112942688,1768528723123324392,67.3544,0.0538,10.3817,77.7899,0.200000,0.000000
50,nav2,1768528723097866695,1768528723163547811,1768528723163582792,1768528723173647092,65.6811,0.0350,10.0643,75.7804,0.200000,0.000000
51,nav2,1768528723151166645,1768528723195731811,1768528723195765903,1768528723242041012,44.5652,0.0341,46.2751,90.8744,0.200000,0.000000
52,nav2,1768528723245013823,1768528723263748972,1768528723263799193,1768528723278039875,18.7351,0.0502,14.2407,33.0261,0.200000,0.000000
53,nav2,1768528723339948708,1768528723407911020,1768528723407950112,1768528723421592745,67.9623,0.0391,13.6426,81.6440,0.200000,0.000000
54,nav2,1768528723402807745,1768528723453314658,1768528723453368750,1768528723458279164,50.5069,0.0541,4.9104,55.4714,0.200000,0.000000
55,nav2,1768528723434332997,1768528723485089234,1768528723485165326,1768528723498726972,50.7562,0.0761,13.5616,64.3940,0.200000,0.000000
56,nav2,1768528723498616505,1768528723563772568,1768528723563807956,1768528723566091643,65.1561,0.0354,2.2837,67.4751,0.200000,0.000000
57,nav2,1768528723573461288,1768528723652127896,1768528723652179359,1768528723674344111,78.6666,0.0515,22.1648,100.8828,0.200000,0.000000
58,nav2,1768528723605950631,1768528723653342703,1768528723654690009,1768528723674720039,47.3921,1.3473,20.0300,68.7694,0.200000,0.000000
59,nav2,1768528723657590095,1768528723703145739,1768528723703194628,1768528723724421214,45.5556,0.0489,21.2266,66.8311,0.200000,0.000000
60,nav2,1768528723690981410,1768528723784017985,1768528723784050077,1768528723801494887,93.0366,0.0321,17.4448,110.5135,0.200000,0.000000
61,nav2,1768528723744569258,1768528723828288704,1768528723828376741,1768528723837663985,83.7194,0.0880,9.2872,93.0947,0.200000,0.000000
62,nav2,1768528723808294050,1768528723870390604,1768528723870486344,1768528723886637300,62.0966,0.0957,16.1510,78.3432,0.200000,0.000000
63,nav2,1768528723861532564,1768528723896706770,1768528723896774121,1768528723901484038,35.1742,0.0674,4.7099,39.9515,0.200000,0.000000
64,nav2,1768528723904310719,1768528723978799008,1768528723978848175,1768528723988258481,74.4883,0.0492,9.4103,83.9478,0.200000,0.000000
65,nav2,1768528723947050644,1768528724010381919,1768528724010432697,1768528724024574114,63.3313,0.0508,14.1414,77.5235,0.200000,0.000000
66,nav2,1768528723999232140,1768528724069219509,1768528724069276360,1768528724073319161,69.9874,0.0569,4.0428,74.0870,0.200000,0.000000
67,nav2,1768528724052063783,1768528724113291711,1768528724113377654,1768528724133637730,61.2279,0.0859,20.2601,81.5739,0.200000,0.000000
68,nav2,1768528724094910968,1768528724200982358,1768528724201523336,1768528724208882884,106.0714,0.5410,7.3595,113.9719,0.200000,0.000000
69,nav2,1768528724146609273,1768528724280724518,1768528724280758500,1768528724290383345,134.1152,0.0340,9.6248,143.7741,0.200000,0.000000
70,nav2,1768528724200060069,1768528724281548161,1768528724281571661,1768528724291023480,81.4881,0.0235,9.4518,90.9634,0.200000,0.000000
71,nav2,1768528724242036465,1768528724315554353,1768528724315589482,1768528724334459643,73.5179,0.0351,18.8702,92.4232,0.200000,0.000000
72,nav2,1768528724294803006,1768528724344287708,1768528724344319985,1768528724352742976,49.4847,0.0323,8.4230,57.9400,0.200000,0.000000
73,nav2,1768528724338654663,1768528724410559509,1768528724410664805,1768528724436787267,71.9048,0.1053,26.1225,98.1326,0.200000,0.000000
74,nav2,1768528724432282705,1768528724497826011,1768528724497891640,1768528724521428418,65.5433,0.0656,23.5368,89.1457,0.200000,0.000000
75,nav2,1768528724485154712,1768528724549808793,1768528724549885718,1768528724554320212,64.6541,0.0769,4.4345,69.1655,0.200000,0.000000
76,nav2,1768528724548081357,1768528724608797844,1768528724608847066,1768528724630763132,60.7165,0.0492,21.9161,82.6818,0.200000,0.000000
77,nav2,1768528724621197615,1768528724701124073,1768528724701154258,1768528724706475609,79.9265,0.0302,5.3214,85.2780,0.200000,0.000000
78,nav2,1768528724664504530,1768528724731758212,1768528724731801638,1768528724757703780,67.2537,0.0434,25.9021,93.1993,0.200000,0.000000
79,nav2,1768528724685446660,1768528724735146561,1768528724735196801,1768528724758692129,49.6999,0.0502,23.4953,73.2455,0.200000,0.000000
80,nav2,1768528724760525426,1768528724827683900,1768528724829506370,1768528724836563048,67.1585,1.8225,7.0567,76.0376,0.200000,0.000000
81,nav2,1768528724813703316,1768528724862878121,1768528724862940269,1768528724864178311,49.1748,0.0621,1.2380,50.4750,0.200000,0.000000
82,nav2,1768528724847307126,1768528724937669572,1768528724937702053,1768528724954845279,90.3624,0.0325,17.1432,107.5382,0.200000,0.000000
83,nav2,1768528724891814041,1768528725002077404,1768528725002149089,1768528725018403364,110.2634,0.0717,16.2543,126.5893,0.200000,0.000000
84,nav2,1768528724945950417,1768528725027687594,1768528725027737834,1768528725033442225,81.7372,0.0502,5.7044,87.4918,0.200000,0.000000
85,nav2,1768528724986955905,1768528725063356108,1768528725063407608,1768528725067166257,76.4002,0.0515,3.7586,80.2104,0.200000,0.000000
86,nav2,1768528725060819234,1768528725133783420,1768528725133814809,1768528725142572039,72.9642,0.0314,8.7572,81.7528,0.200000,0.000000
87,nav2,1768528725112201127,1768528725202852501,1768528725202917074,1768528725220855518,90.6514,0.0646,17.9384,108.6544,0.200000,0.000000
88,nav2,1768528725143259845,1768528725236965784,1768528725237025210,1768528725243097647,93.7059,0.0594,6.0724,99.8378,0.200000,0.000000
89,nav2,1768528725194914018,1768528725259390827,1768528725259449197,1768528725274111340,64.4768,0.0584,14.6621,79.1973,0.200000,0.000000
90,nav2,1768528725246258422,1768528725337184074,1768528725337255722,1768528725342882863,90.9257,0.0716,5.6271,96.6244,0.200000,0.000000
91,nav2,1768528725318276013,1768528725401456444,1768528725401506684,1768528725404901778,83.1804,0.0502,3.3951,86.6258,0.200000,0.000000
92,nav2,1768528725339264532,1768528725434997139,1768528725435050305,1768528725454904174,95.7326,0.0532,19.8539,115.6396,0.200000,0.000000
93,nav2,1768528725411068242,1768528725514552430,1768528725517452189,1768528725535569793,103.4842,2.8998,18.1176,124.5016,0.200000,0.000000
94,nav2,1768528725465388747,1768528725559048500,1768528725559080185,1768528725600273252,93.6598,0.0317,41.1931,134.8845,0.200000,0.000000
