Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
40,nav2,1768474341934465394,1768474341936679954,1768474341936713398,1768474341938027692,2.2146,0.0334,1.3143,3.5623,0.200000,0.000000
41,nav2,1768474341997518926,1768474341999342508,1768474341999375175,1768474342000531811,1.8236,0.0327,1.1566,3.0129,0.200000,0.000000
42,nav2,1768474342039857214,1768474342042367901,1768474342042412030,1768474342043592499,2.5107,0.0441,1.1805,3.7353,0.200000,0.000000
43,nav2,1768474342091284990,1768474342094306037,1768474342094342000,1768474342095718270,3.0210,0.0360,1.3763,4.4333,0.200000,0.000000
44,nav2,1768474342144777039,1768474342147891923,1768474342147927052,1768474342149205538,3.1149,0.0351,1.2785,4.4285,0.200000,0.000000
45,nav2,1768474342197546131,1768474342199618264,1768474342199652412,1768474342200649125,2.0721,0.0341,0.9967,3.1030,0.200000,0.000000
46,nav2,1768474342247824003,1768474342251281495,1768474342251338161,1768474342252492949,3.4575,0.0567,1.1548,4.6689,0.200000,0.000000
47,nav2,1768474342299289252,1768474342301634288,1768474342301674177,1768474342302655696,2.3450,0.0399,0.9815,3.3664,0.200000,0.000000
48,nav2,1768474342330283686,1768474342332029275,1768474342332070423,1768474342333068812,1.7456,0.0411,0.9984,2.7851,0.200000,0.000000
49,nav2,1768474342391452725,1768474342393229226,1768474342393269930,1768474342394168928,1.7765,0.0407,0.8990,2.7162,0.200000,0.000000
50,nav2,1768474342443241633,1768474342447712496,1768474342447751106,1768474342448731383,4.4709,0.0386,0.9803,5.4897,0.200000,0.000000
51,nav2,1768474342497795482,1768474342499623169,1768474342499655465,1768474342500822386,1.8277,0.0323,1.1669,3.0269,0.200000,0.000000
52,nav2,1768474342548793533,1768474342551605657,1768474342551637805,1768474342552764993,2.8121,0.0321,1.1272,3.9715,0.200000,0.000000
53,nav2,1768474342591923765,1768474342593921887,1768474342593955757,1768474342594906879,1.9981,0.0339,0.9511,2.9831,0.200000,0.000000
54,nav2,1768474342643089807,1768474342644768215,1768474342644812289,1768474342645829574,1.6784,0.0441,1.0173,2.7398,0.200000,0.000000
55,nav2,1768474342694246202,1768474342699596149,1768474342699630852,1768474342700613249,5.3499,0.0347,0.9824,6.3670,0.200000,0.000000
56,nav2,1768474342748179579,1768474342751478063,1768474342751511526,1768474342755634775,3.2985,0.0335,4.1232,7.4552,0.200000,0.000000
57,nav2,1768474342800198798,1768474342802093133,1768474342802131429,1768474342803783934,1.8943,0.0383,1.6525,3.5851,0.200000,0.000000
58,nav2,1768474342841148142,1768474342845695523,1768474342845727708,1768474342846637593,4.5474,0.0322,0.9099,5.4895,0.200000,0.000000
59,nav2,1768474342893586597,1768474342895431301,1768474342895474764,1768474342896509313,1.8447,0.0435,1.0345,2.9227,0.200000,0.000000
60,nav2,1768474342946727738,1768474342948599523,1768474342948641282,1768474342949920282,1.8718,0.0418,1.2790,3.1925,0.200000,0.000000
61,nav2,1768474342998553547,1768474343000324957,1768474343000366512,1768474343001456717,1.7714,0.0416,1.0902,2.9032,0.200000,0.000000
62,nav2,1768474343041665462,1768474343043551182,1768474343043585404,1768474343045878679,1.8857,0.0342,2.2933,4.2132,0.200000,0.000000
63,nav2,1768474343093449436,1768474343095316338,1768474343095349745,1768474343096434332,1.8669,0.0334,1.0846,2.9849,0.200000,0.000000
64,nav2,1768474343148467073,1768474343150221289,1768474343150261826,1768474343151329128,1.7542,0.0405,1.0673,2.8621,0.200000,0.000000
65,nav2,1768474343191086752,1768474343192767185,1768474343192815148,1768474343193786579,1.6804,0.0480,0.9714,2.6998,0.200000,0.000000
66,nav2,1768474343245218722,1768474343247236973,1768474343247277102,1768474343248464269,2.0183,0.0401,1.1872,3.2455,0.200000,0.000000
67,nav2,1768474343293272526,1768474343295314447,1768474343295349002,1768474343296513526,2.0419,0.0346,1.1645,3.2410,0.200000,0.000000
68,nav2,1768474343342262351,1768474343346793938,1768474343346826567,1768474343349722992,4.5316,0.0326,2.8964,7.4606,0.200000,0.000000
69,nav2,1768474343383978498,1768474343385676003,1768474343385710670,1768474343386817437,1.6975,0.0347,1.1068,2.8389,0.200000,0.000000
70,nav2,1768474343450306514,1768474343452275127,1768474343452308312,1768474343453954042,1.9686,0.0332,1.6457,3.6475,0.200000,0.000000
71,nav2,1768474343493115300,1768474343495560555,1768474343495602666,1768474343504104151,2.4453,0.0421,8.5015,10.9889,0.200000,0.000000
72,nav2,1768474343545473005,1768474343547229970,1768474343547269896,1768474343549852533,1.7570,0.0399,2.5826,4.3795,0.200000,0.000000
73,nav2,1768474343589936262,1768474343592169778,1768474343592208389,1768474343593353456,2.2335,0.0386,1.1451,3.4172,0.200000,0.000000
74,nav2,1768474343642730541,1768474343644480634,1768474343644520004,1768474343645569515,1.7501,0.0394,1.0495,2.8390,0.200000,0.000000
75,nav2,1768474343695109586,1768474343697042730,1768474343697080581,1768474343698120286,1.9331,0.0379,1.0397,3.0107,0.200000,0.000000
76,nav2,1768474343746542582,1768474343748239852,1768474343748279814,1768474343749341150,1.6973,0.0400,1.0613,2.7986,0.200000,0.000000
77,nav2,1768474343800026585,1768474343801999458,1768474343802037403,1768474343803472703,1.9729,0.0379,1.4353,3.4461,0.200000,0.000000
