Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
40,nav2,1768472713237285766,1768472713239116843,1768472713239200528,1768472713240570686,1.8311,0.0837,1.3702,3.2849,0.200000,0.000000
41,nav2,1768472713287995069,1768472713289797944,1768472713289827962,1768472713293169121,1.8029,0.0300,3.3412,5.1741,0.200000,0.000000
42,nav2,1768472713336211759,1768472713338141596,1768472713338172577,1768472713339351022,1.9298,0.0310,1.1784,3.1393,0.200000,0.000000
43,nav2,1768472713387852840,1768472713389561026,1768472713389591988,1768472713390916821,1.7082,0.0310,1.3248,3.0640,0.200000,0.000000
44,nav2,1768472713437259365,1768472713439299706,1768472713439334688,1768472713440535496,2.0403,0.0350,1.2008,3.2761,0.200000,0.000000
45,nav2,1768472713486198172,1768472713488043671,1768472713488078430,1768472713489397491,1.8455,0.0348,1.3191,3.1993,0.200000,0.000000
46,nav2,1768472713535795177,1768472713537495612,1768472713537530538,1768472713539477623,1.7004,0.0349,1.9471,3.6824,0.200000,0.000000
47,nav2,1768472713587583923,1768472713589329447,1768472713589360058,1768472713590703539,1.7455,0.0306,1.3435,3.1196,0.200000,0.000000
48,nav2,1768472713637719679,1768472713639626383,1768472713639655606,1768472713641006005,1.9067,0.0292,1.3504,3.2863,0.200000,0.000000
49,nav2,1768472713686746464,1768472713688444681,1768472713688476329,1768472713689625173,1.6982,0.0316,1.1488,2.8787,0.200000,0.000000
50,nav2,1768472713736662490,1768472713738406156,1768472713738437693,1768472713740140161,1.7437,0.0315,1.7025,3.4777,0.200000,0.000000
51,nav2,1768472713787304984,1768472713789049443,1768472713789078794,1768472713790528088,1.7445,0.0294,1.4493,3.2231,0.200000,0.000000
52,nav2,1768472713837510393,1768472713839611174,1768472713839644859,1768472713842610354,2.1008,0.0337,2.9655,5.1000,0.200000,0.000000
53,nav2,1768472713886912426,1768472713888870320,1768472713888903487,1768472713890429613,1.9579,0.0332,1.5261,3.5172,0.200000,0.000000
54,nav2,1768472713937570471,1768472713939341774,1768472713939372348,1768472713942990214,1.7713,0.0306,3.6179,5.4197,0.200000,0.000000
55,nav2,1768472713987330072,1768472713989573470,1768472713989603174,1768472713991715914,2.2434,0.0297,2.1127,4.3858,0.200000,0.000000
56,nav2,1768472714035856882,1768472714037542402,1768472714037572310,1768472714038788545,1.6855,0.0299,1.2162,2.9317,0.200000,0.000000
57,nav2,1768472714087987474,1768472714090572322,1768472714090604637,1768472714092189355,2.5848,0.0323,1.5847,4.2019,0.200000,0.000000
58,nav2,1768472714136882021,1768472714139299194,1768472714139330065,1768472714140233539,2.4172,0.0309,0.9035,3.3515,0.200000,0.000000
59,nav2,1768472714188679043,1768472714191066344,1768472714191097251,1768472714192170657,2.3873,0.0309,1.0734,3.4916,0.200000,0.000000
60,nav2,1768472714235552076,1768472714237176102,1768472714237212010,1768472714238271114,1.6240,0.0359,1.0591,2.7190,0.200000,0.000000
61,nav2,1768472714284918275,1768472714286767302,1768472714286801339,1768472714287726907,1.8490,0.0340,0.9256,2.8086,0.200000,0.000000
62,nav2,1768472714335413659,1768472714341136844,1768472714341166622,1768472714342631824,5.7232,0.0298,1.4652,7.2182,0.200000,0.000000
63,nav2,1768472714385802288,1768472714387635618,1768472714387669840,1768472714388876008,1.8333,0.0342,1.2062,3.0737,0.200000,0.000000
64,nav2,1768472714438346808,1768472714442043622,1768472714442077622,1768472714443287129,3.6968,0.0340,1.2095,4.9403,0.200000,0.000000
65,nav2,1768472714487538107,1768472714489618353,1768472714489651223,1768472714491110494,2.0802,0.0329,1.4593,3.5724,0.200000,0.000000
66,nav2,1768472714535402381,1768472714537103862,1768472714537136936,1768472714538630048,1.7015,0.0331,1.4931,3.2277,0.200000,0.000000
67,nav2,1768472714585266049,1768472714586915968,1768472714586948024,1768472714587802053,1.6499,0.0321,0.8540,2.5360,0.200000,0.000000
68,nav2,1768472714635880787,1768472714637901049,1768472714637934308,1768472714638928461,2.0203,0.0333,0.9942,3.0477,0.200000,0.000000
69,nav2,1768472714684935293,1768472714686558236,1768472714686591032,1768472714687546557,1.6229,0.0328,0.9555,2.6113,0.200000,0.000000
70,nav2,1768472714736989882,1768472714740076079,1768472714740105931,1768472714741169939,3.0862,0.0299,1.0640,4.1801,0.200000,0.000000
71,nav2,1768472714786842440,1768472714788618119,1768472714788650285,1768472714790200423,1.7757,0.0322,1.5501,3.3580,0.200000,0.000000
72,nav2,1768472714836801581,1768472714838756630,1768472714838787019,1768472714840206699,1.9550,0.0304,1.4197,3.4051,0.200000,0.000000
73,nav2,1768472714885801241,1768472714887435558,1768472714887466873,1768472714889981551,1.6343,0.0313,2.5147,4.1803,0.200000,0.000000
74,nav2,1768472714936188492,1768472714938101640,1768472714938132622,1768472714939132832,1.9131,0.0310,1.0002,2.9443,0.200000,0.000000
75,nav2,1768472714986121140,1768472714988021320,1768472714988052357,1768472714989064528,1.9002,0.0310,1.0122,2.9434,0.200000,0.000000
76,nav2,1768472715037269118,1768472715038997123,1768472715039029104,1768472715040025885,1.7280,0.0320,0.9968,2.7568,0.200000,0.000000
77,nav2,1768472715085509948,1768472715087346423,1768472715087377219,1768472715088260744,1.8365,0.0308,0.8835,2.7508,0.200000,0.000000
78,nav2,1768472715136892143,1768472715138771445,1768472715138801741,1768472715140322613,1.8793,0.0303,1.5209,3.4305,0.200000,0.000000
79,nav2,1768472715187007821,1768472715191576181,1768472715191606552,1768472715192665895,4.5684,0.0304,1.0593,5.6581,0.200000,0.000000
80,nav2,1768472715236378116,1768472715238356917,1768472715238389083,1768472715239663802,1.9788,0.0322,1.2747,3.2857,0.200000,0.000000
81,nav2,1768472715285686227,1768472715287817099,1768472715287848543,1768472715289077793,2.1309,0.0314,1.2292,3.3916,0.200000,0.000000
82,nav2,1768472715335560886,1768472715337591409,1768472715337623761,1768472715341424939,2.0305,0.0324,3.8012,5.8641,0.200000,0.000000
83,nav2,1768472715387778797,1768472715389524984,1768472715389554132,1768472715390524599,1.7462,0.0291,0.9705,2.7458,0.200000,0.000000
84,nav2,1768472715436804718,1768472715438631668,1768472715438660742,1768472715441547954,1.8270,0.0291,2.8872,4.7432,0.200000,0.000000
85,nav2,1768472715488754085,1768472715490411392,1768472715490441485,1768472715491308775,1.6573,0.0301,0.8673,2.5547,0.200000,0.000000
86,nav2,1768472715535994220,1768472715537729347,1768472715537761180,1768472715539335126,1.7351,0.0318,1.5739,3.3409,0.200000,0.000000
87,nav2,1768472715586297853,1768472715589240665,1768472715589270239,1768472715590404021,2.9428,0.0296,1.1338,4.1062,0.200000,0.000000
88,nav2,1768472715634914695,1768472715639434898,1768472715639464435,1768472715640332825,4.5202,0.0295,0.8684,5.4181,0.200000,0.000000
89,nav2,1768472715687630334,1768472715689392448,1768472715689423707,1768472715691716931,1.7621,0.0313,2.2932,4.0866,0.200000,0.000000
90,nav2,1768472715738749437,1768472715740563157,1768472715740594416,1768472715741825278,1.8137,0.0313,1.2309,3.0758,0.200000,0.000000
91,nav2,1768472715789280867,1768472715791378683,1768472715791410294,1768472715792448450,2.0978,0.0316,1.0382,3.1676,0.200000,0.000000
92,nav2,1768472715836125139,1768472715838636916,1768472715838675045,1768472715840954669,2.5118,0.0381,2.2796,4.8295,0.200000,0.000000
93,nav2,1768472715886872331,1768472715888705890,1768472715888734890,1768472715889879766,1.8336,0.0290,1.1449,3.0074,0.200000,0.000000
94,nav2,1768472715936416884,1768472715938259924,1768472715938292146,1768472715939526804,1.8430,0.0322,1.2347,3.1099,0.200000,0.000000
95,nav2,1768472715986581835,1768472715988804044,1768472715988837303,1768472715990311434,2.2222,0.0333,1.4741,3.7296,0.200000,0.000000
96,nav2,1768472716035516163,1768472716037576379,1768472716037610156,1768472716039091000,2.0602,0.0338,1.4808,3.5748,0.200000,0.000000
97,nav2,1768472716086740143,1768472716089487509,1768472716089519120,1768472716091519751,2.7474,0.0316,2.0006,4.7796,0.200000,0.000000
98,nav2,1768472716135237150,1768472716137268183,1768472716137302628,1768472716138155829,2.0310,0.0344,0.8532,2.9187,0.200000,0.000000
99,nav2,1768472716186089544,1768472716187827211,1768472716187880822,1768472716189717812,1.7377,0.0536,1.8370,3.6283,0.200000,0.000000
100,nav2,1768472716235537232,1768472716237169783,1768472716237201579,1768472716240123950,1.6326,0.0318,2.9224,4.5867,0.200000,0.000000
101,nav2,1768472716286204162,1768472716288046068,1768472716288076938,1768472716290692194,1.8419,0.0309,2.6153,4.4880,0.200000,0.000000
102,nav2,1768472716335220633,1768472716339718440,1768472716339779495,1768472716340817870,4.4978,0.0611,1.0384,5.5972,0.200000,0.000000
103,nav2,1768472716385634960,1768472716387429522,1768472716387463263,1768472716388468001,1.7946,0.0337,1.0047,2.8330,0.200000,0.000000
104,nav2,1768472716438529211,1768472716440298239,1768472716440328943,1768472716441322387,1.7690,0.0307,0.9934,2.7932,0.200000,0.000000
105,nav2,1768472716487702285,1768472716489494312,1768472716489525053,1768472716490626378,1.7920,0.0307,1.1013,2.9241,0.200000,0.000000
106,nav2,1768472716535765727,1768472716537549799,1768472716537582484,1768472716539240100,1.7841,0.0327,1.6576,3.4744,0.200000,0.000000
107,nav2,1768472716587283555,1768472716589061543,1768472716589094228,1768472716590276894,1.7780,0.0327,1.1827,2.9933,0.200000,0.000000
108,nav2,1768472716635858221,1768472716637513898,1768472716637550416,1768472716638539411,1.6557,0.0365,0.9890,2.6812,0.200000,0.000000
109,nav2,1768472716688623016,1768472716690351708,1768472716690384856,1768472716691752456,1.7287,0.0331,1.3676,3.1294,0.200000,0.000000
110,nav2,1768472716738832215,1768472716740486386,1768472716740569034,1768472716741582377,1.6542,0.0826,1.0133,2.7502,0.200000,0.000000
111,nav2,1768472716785886326,1768472716787522954,1768472716787590490,1768472716789285859,1.6366,0.0675,1.6954,3.3995,0.200000,0.000000
112,nav2,1768472716835681353,1768472716837325023,1768472716837357689,1768472716838781351,1.6437,0.0327,1.4237,3.1000,0.200000,0.000000
113,nav2,1768472716887044584,1768472716888773823,1768472716888805156,1768472716890007590,1.7292,0.0313,1.2024,2.9630,0.200000,0.000000
114,nav2,1768472716936014777,1768472716938141006,1768472716938173172,1768472716939307972,2.1262,0.0322,1.1348,3.2932,0.200000,0.000000
115,nav2,1768472716985156310,1768472716986999062,1768472716987031969,1768472716988191860,1.8428,0.0329,1.1599,3.0356,0.200000,0.000000
116,nav2,1768472717037673288,1768472717040953939,1768472717040987939,1768472717042333988,3.2807,0.0340,1.3460,4.6607,0.200000,0.000000
117,nav2,1768472717085398559,1768472717087472991,1768472717087503917,1768472717088730755,2.0744,0.0309,1.2268,3.3322,0.200000,0.000000
118,nav2,1768472717136195483,1768472717139169123,1768472717139199141,1768472717140531857,2.9736,0.0300,1.3327,4.3364,0.200000,0.000000
119,nav2,1768472717185946324,1768472717187723681,1768472717187753885,1768472717190681737,1.7774,0.0302,2.9279,4.7354,0.200000,0.000000
120,nav2,1768472717238227026,1768472717240985137,1768472717241014192,1768472717242337844,2.7581,0.0291,1.3237,4.1108,0.200000,0.000000
121,nav2,1768472717287362859,1768472717289480288,1768472717289510343,1768472717290987774,2.1174,0.0301,1.4774,3.6249,0.200000,0.000000
122,nav2,1768472717339010164,1768472717340848755,1768472717340897088,1768472717343764950,1.8386,0.0483,2.8679,4.7548,0.200000,0.000000
123,nav2,1768472717397964756,1768472717400823855,1768472717400878781,1768472717401943672,2.8591,0.0549,1.0649,3.9789,0.200000,0.000000
124,nav2,1768472717439000402,1768472717440684799,1768472717440715651,1768472717441824277,1.6844,0.0309,1.1086,2.8239,0.200000,0.000000
125,nav2,1768472717488418549,1768472717492312154,1768472717492345228,1768472717494355275,3.8936,0.0331,2.0100,5.9367,0.200000,0.000000
126,nav2,1768472717535489984,1768472717542797941,1768472717542833589,1768472717544656737,7.3080,0.0356,1.8231,9.1668,0.200000,0.000000
127,nav2,1768472717586045199,1768472717587742984,1768472717587773150,1768472717589341133,1.6978,0.0302,1.5680,3.2959,0.200000,0.000000
128,nav2,1768472717636398567,1768472717642241376,1768472717642272265,1768472717643450123,5.8428,0.0309,1.1779,7.0516,0.200000,0.000000
129,nav2,1768472717688889735,1768472717691233524,1768472717691263895,1768472717692359080,2.3438,0.0304,1.0952,3.4693,0.200000,0.000000
130,nav2,1768472717738543229,1768472717740677948,1768472717740716133,1768472717745622529,2.1347,0.0382,4.9064,7.0793,0.200000,0.000000
131,nav2,1768472717785769843,1768472717787434831,1768472717787468202,1768472717788499877,1.6650,0.0334,1.0317,2.7300,0.200000,0.000000
132,nav2,1768472717835211895,1768472717840316438,1768472717840347474,1768472717842922831,5.1045,0.0310,2.5754,7.7109,0.200000,0.000000
133,nav2,1768472717886438098,1768472717891268500,1768472717891299277,1768472717892283386,4.8304,0.0308,0.9841,5.8453,0.200000,0.000000
134,nav2,1768472717936563820,1768472717938463214,1768472717938493492,1768472717939946757,1.8994,0.0303,1.4533,3.3829,0.200000,0.000000
135,nav2,1768472717985597949,1768472717987270734,1768472717987304771,1768472717988295074,1.6728,0.0340,0.9903,2.6971,0.200000,0.000000
136,nav2,1768472718035321130,1768472718037065747,1768472718037100136,1768472718038193635,1.7446,0.0344,1.0935,2.8725,0.200000,0.000000
