Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
40,nav2,1768473495039016125,1768473495041063751,1768473495041099140,1768473495042352869,2.0476,0.0354,1.2537,3.3367,0.200000,0.000000
41,nav2,1768473495087630773,1768473495089907942,1768473495089940942,1768473495091293025,2.2772,0.0330,1.3521,3.6623,0.200000,0.000000
42,nav2,1768473495127948163,1768473495130050314,1768473495130085888,1768473495132180842,2.1022,0.0356,2.0950,4.2327,0.200000,0.000000
43,nav2,1768473495187239663,1768473495189148276,1768473495189186035,1768473495190516411,1.9086,0.0378,1.3304,3.2767,0.200000,0.000000
44,nav2,1768473495237273926,1768473495239511643,1768473495239545976,1768473495240772465,2.2377,0.0343,1.2265,3.4985,0.200000,0.000000
45,nav2,1768473495285939347,1768473495290694153,1768473495290735486,1768473495292396966,4.7548,0.0413,1.6615,6.4576,0.200000,0.000000
46,nav2,1768473495327641817,1768473495330003419,1768473495330044252,1768473495331725837,2.3616,0.0408,1.6816,4.0840,0.200000,0.000000
47,nav2,1768473495375876278,1768473495378306557,1768473495378339760,1768473495379320952,2.4303,0.0332,0.9812,3.4447,0.200000,0.000000
48,nav2,1768473495438425482,1768473495440303613,1768473495440340557,1768473495442958092,1.8781,0.0369,2.6175,4.5326,0.200000,0.000000
49,nav2,1768473495486512163,1768473495488338956,1768473495488379919,1768473495489867198,1.8268,0.0410,1.4873,3.3550,0.200000,0.000000
50,nav2,1768473495537658311,1768473495542812891,1768473495542848891,1768473495544164126,5.1546,0.0360,1.3152,6.5058,0.200000,0.000000
51,nav2,1768473495587995930,1768473495590313553,1768473495590349034,1768473495591705597,2.3176,0.0355,1.3566,3.7097,0.200000,0.000000
52,nav2,1768473495638313612,1768473495640715882,1768473495640753048,1768473495644629246,2.4023,0.0372,3.8762,6.3156,0.200000,0.000000
53,nav2,1768473495686997339,1768473495688840280,1768473495688914835,1768473495689989455,1.8429,0.0746,1.0746,2.9921,0.200000,0.000000
54,nav2,1768473495739690839,1768473495741574299,1768473495741608892,1768473495743453009,1.8835,0.0346,1.8441,3.7622,0.200000,0.000000
55,nav2,1768473495788135506,1768473495789890826,1768473495789929789,1768473495791062901,1.7553,0.0390,1.1331,2.9274,0.200000,0.000000
56,nav2,1768473495837529316,1768473495839307254,1768473495839343235,1768473495840673386,1.7779,0.0360,1.3302,3.1441,0.200000,0.000000
57,nav2,1768473495886726074,1768473495888407887,1768473495888442054,1768473495889560502,1.6818,0.0342,1.1184,2.8344,0.200000,0.000000
58,nav2,1768473495937971858,1768473495939754896,1768473495939849951,1768473495941324679,1.7830,0.0951,1.4747,3.3528,0.200000,0.000000
59,nav2,1768473495976765074,1768473495978757016,1768473495978795775,1768473495980509897,1.9919,0.0388,1.7141,3.7448,0.200000,0.000000
60,nav2,1768473496028733272,1768473496030575299,1768473496030611836,1768473496031888815,1.8420,0.0365,1.2770,3.1555,0.200000,0.000000
61,nav2,1768473496078223272,1768473496080212078,1768473496080251651,1768473496081595311,1.9888,0.0396,1.3437,3.3720,0.200000,0.000000
62,nav2,1768473496138978369,1768473496140824087,1768473496140878290,1768473496142157605,1.8457,0.0542,1.2793,3.1792,0.200000,0.000000
63,nav2,1768473496176577765,1768473496178307623,1768473496178347900,1768473496179352381,1.7299,0.0403,1.0045,2.7746,0.200000,0.000000
64,nav2,1768473496238144121,1768473496240185754,1768473496240225735,1768473496241885406,2.0416,0.0400,1.6597,3.7413,0.200000,0.000000
65,nav2,1768473496278857107,1768473496280796938,1768473496280837030,1768473496282622217,1.9398,0.0401,1.7852,3.7651,0.200000,0.000000
66,nav2,1768473496338433017,1768473496340524026,1768473496340557045,1768473496341936896,2.0910,0.0330,1.3799,3.5039,0.200000,0.000000
67,nav2,1768473496377222762,1768473496378993593,1768473496379027075,1768473496382639450,1.7708,0.0335,3.6124,5.4167,0.200000,0.000000
68,nav2,1768473496436320897,1768473496438322666,1768473496438361721,1768473496439577976,2.0018,0.0391,1.2163,3.2571,0.200000,0.000000
69,nav2,1768473496476591222,1768473496478331724,1768473496478369872,1768473496481099970,1.7405,0.0381,2.7301,4.5087,0.200000,0.000000
70,nav2,1768473496537591334,1768473496539600951,1768473496539634840,1768473496540837198,2.0096,0.0339,1.2024,3.2459,0.200000,0.000000
71,nav2,1768473496587609948,1768473496590032151,1768473496590064113,1768473496591522548,2.4222,0.0320,1.4584,3.9126,0.200000,0.000000
72,nav2,1768473496637001843,1768473496638921822,1768473496638960544,1768473496640085163,1.9200,0.0387,1.1246,3.0833,0.200000,0.000000
73,nav2,1768473496687548427,1768473496689952518,1768473496689986055,1768473496691580285,2.4041,0.0335,1.5942,4.0319,0.200000,0.000000
74,nav2,1768473496738051484,1768473496740359033,1768473496740395607,1768473496743701322,2.3075,0.0366,3.3057,5.6498,0.200000,0.000000
75,nav2,1768473496779435502,1768473496786147630,1768473496786182056,1768473496787473571,6.7121,0.0344,1.2915,8.0381,0.200000,0.000000
76,nav2,1768473496837761538,1768473496839489998,1768473496839530145,1768473496840900095,1.7285,0.0401,1.3700,3.1386,0.200000,0.000000
77,nav2,1768473496888229634,1768473496890290658,1768473496890324602,1768473496892265135,2.0610,0.0339,1.9405,4.0355,0.200000,0.000000
78,nav2,1768473496939139688,1768473496941051985,1768473496941104929,1768473496942516575,1.9123,0.0529,1.4116,3.3769,0.200000,0.000000
79,nav2,1768473496989232568,1768473496991154946,1768473496991195538,1768473496992369643,1.9224,0.0406,1.1741,3.1371,0.200000,0.000000
80,nav2,1768473497038811767,1768473497040815631,1768473497040870797,1768473497042284580,2.0039,0.0552,1.4138,3.4728,0.200000,0.000000
81,nav2,1768473497087509585,1768473497090065875,1768473497090100634,1768473497093191876,2.5563,0.0348,3.0912,5.6823,0.200000,0.000000
82,nav2,1768473497137272182,1768473497139031564,1768473497139085212,1768473497140376725,1.7594,0.0536,1.2915,3.1045,0.200000,0.000000
83,nav2,1768473497176528640,1768473497178385348,1768473497178425070,1768473497179804826,1.8567,0.0397,1.3798,3.2762,0.200000,0.000000
84,nav2,1768473497228257920,1768473497230077226,1768473497230113336,1768473497231418226,1.8193,0.0361,1.3049,3.1603,0.200000,0.000000
85,nav2,1768473497288613095,1768473497290374700,1768473497290407162,1768473497291707234,1.7616,0.0325,1.3001,3.0941,0.200000,0.000000
86,nav2,1768473497338777852,1768473497341236433,1768473497341277267,1768473497342596010,2.4586,0.0408,1.3187,3.8182,0.200000,0.000000
87,nav2,1768473497388335534,1768473497390036383,1768473497390063772,1768473497391403528,1.7008,0.0274,1.3398,3.0680,0.200000,0.000000
88,nav2,1768473497428181013,1768473497430517957,1768473497430552883,1768473497431926086,2.3369,0.0349,1.3732,3.7451,0.200000,0.000000
89,nav2,1768473497487405761,1768473497489822530,1768473497489877048,1768473497491019475,2.4168,0.0545,1.1424,3.6137,0.200000,0.000000
90,nav2,1768473497526404265,1768473497528709039,1768473497528745020,1768473497529715894,2.3048,0.0360,0.9709,3.3116,0.200000,0.000000
91,nav2,1768473497578355559,1768473497580689099,1768473497580721340,1768473497582239921,2.3335,0.0322,1.5186,3.8844,0.200000,0.000000
92,nav2,1768473497628603189,1768473497630726597,1768473497630760208,1768473497632791713,2.1234,0.0336,2.0315,4.1885,0.200000,0.000000
93,nav2,1768473497687005839,1768473497688738622,1768473497688830862,1768473497689981970,1.7328,0.0922,1.1511,2.9761,0.200000,0.000000
94,nav2,1768473497726701429,1768473497728784328,1768473497728823161,1768473497730139864,2.0829,0.0388,1.3167,3.4384,0.200000,0.000000
95,nav2,1768473497787893671,1768473497789730928,1768473497789763594,1768473497791410499,1.8373,0.0327,1.6469,3.5168,0.200000,0.000000
96,nav2,1768473497838176969,1768473497839940036,1768473497839978795,1768473497841608614,1.7631,0.0388,1.6298,3.4316,0.200000,0.000000
97,nav2,1768473497886068112,1768473497887688233,1768473497887726288,1768473497888773380,1.6201,0.0381,1.0471,2.7053,0.200000,0.000000
98,nav2,1768473497927183393,1768473497929015098,1768473497929052616,1768473497930714343,1.8317,0.0375,1.6617,3.5309,0.200000,0.000000
99,nav2,1768473497988230273,1768473497990041845,1768473497990078845,1768473497991585324,1.8116,0.0370,1.5065,3.3551,0.200000,0.000000
100,nav2,1768473498037680508,1768473498039404495,1768473498039438440,1768473498040952558,1.7240,0.0339,1.5141,3.2721,0.200000,0.000000
101,nav2,1768473498089154343,1768473498091981256,1768473498092014960,1768473498093400022,2.8269,0.0337,1.3851,4.2457,0.200000,0.000000
102,nav2,1768473498128431226,1768473498131110727,1768473498131145986,1768473498133818178,2.6795,0.0353,2.6722,5.3870,0.200000,0.000000
103,nav2,1768473498186393292,1768473498188172961,1768473498188208201,1768473498190625741,1.7797,0.0352,2.4175,4.2324,0.200000,0.000000
104,nav2,1768473498237723022,1768473498239610728,1768473498239649506,1768473498241328993,1.8877,0.0388,1.6795,3.6060,0.200000,0.000000
105,nav2,1768473498287106903,1768473498291467475,1768473498291503012,1768473498292933363,4.3606,0.0355,1.4304,5.8265,0.200000,0.000000
106,nav2,1768473498326742029,1768473498328757938,1768473498328793641,1768473498330016619,2.0159,0.0357,1.2230,3.2746,0.200000,0.000000
107,nav2,1768473498377550835,1768473498379530820,1768473498379569135,1768473498380992533,1.9800,0.0383,1.4234,3.4417,0.200000,0.000000
108,nav2,1768473498437909909,1768473498445191799,1768473498445232595,1768473498446959225,7.2819,0.0408,1.7266,9.0493,0.200000,0.000000
109,nav2,1768473498487698000,1768473498489611609,1768473498489650294,1768473498491781433,1.9136,0.0387,2.1311,4.0834,0.200000,0.000000
110,nav2,1768473498539468619,1768473498544321764,1768473498544357097,1768473498545833991,4.8531,0.0353,1.4769,6.3654,0.200000,0.000000
111,nav2,1768473498578431838,1768473498580911991,1768473498580945879,1768473498583275789,2.4802,0.0339,2.3299,4.8440,0.200000,0.000000
112,nav2,1768473498639480705,1768473498641451389,1768473498641490296,1768473498643338714,1.9707,0.0389,1.8484,3.8580,0.200000,0.000000
113,nav2,1768473498687368177,1768473498689326419,1768473498689361196,1768473498700635560,1.9582,0.0348,11.2744,13.2674,0.200000,0.000000
114,nav2,1768473498736466969,1768473498738157183,1768473498738195053,1768473498739270402,1.6902,0.0379,1.0753,2.8034,0.200000,0.000000
115,nav2,1768473498787022591,1768473498789109157,1768473498789153361,1768473498790390289,2.0866,0.0442,1.2369,3.3677,0.200000,0.000000
116,nav2,1768473498828291570,1768473498830448763,1768473498830484207,1768473498831663123,2.1572,0.0354,1.1789,3.3716,0.200000,0.000000
117,nav2,1768473498876477316,1768473498878200219,1768473498878239423,1768473498879421227,1.7229,0.0392,1.1818,2.9439,0.200000,0.000000
118,nav2,1768473498937443192,1768473498939242707,1768473498939281929,1768473498941343856,1.7995,0.0392,2.0619,3.9007,0.200000,0.000000
119,nav2,1768473498977096739,1768473498979059285,1768473498979093914,1768473498980338001,1.9625,0.0346,1.2441,3.2413,0.200000,0.000000
