Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
3,nav2,1768527736687004383,1768527737705716716,1768527737705753493,1768527737733393327,1018.7123,0.0368,27.6398,1046.3889,0.200000,0.000000
5,nav2,1768527736791231406,1768527737788749452,1768527737788816489,1768527737809239350,997.5180,0.0670,20.4229,1018.0079,0.200000,0.000000
6,nav2,1768527736847432820,1768527737791650855,1768527737791715447,1768527737810040534,944.2180,0.0646,18.3251,962.6077,0.200000,0.000000
7,nav2,1768527736898667200,1768527737795089271,1768527737795476694,1768527737824779496,896.4221,0.3874,29.3028,926.1123,0.200000,0.000000
8,nav2,1768527736961200539,1768527737798269246,1768527737798315208,1768527737825522581,837.0687,0.0460,27.2074,864.3220,0.200000,0.000000
9,nav2,1768527737053388446,1768527737802242751,1768527737802297583,1768527737825884634,748.8543,0.0548,23.5871,772.4962,0.200000,0.000000
10,nav2,1768527737206820788,1768527737803934422,1768527737803982996,1768527737826092058,597.1136,0.0486,22.1091,619.2713,0.200000,0.000000
11,nav2,1768527737329507068,1768527737806714474,1768527737806919750,1768527737826261722,477.2074,0.2053,19.3420,496.7547,0.200000,0.000000
12,nav2,1768527737402698645,1768527737822447180,1768527737822550735,1768527737826425600,419.7485,0.1036,3.8749,423.7270,0.200000,0.000000
13,nav2,1768527737494181597,1768527737824556367,1768527737825441878,1768527737831255223,330.3748,0.8855,5.8133,337.0736,0.200000,0.000000
14,nav2,1768527737607701607,1768527737826676720,1768527737826715516,1768527737832146609,218.9751,0.0388,5.4311,224.4450,0.200000,0.000000
15,nav2,1768527737690323727,1768527737830117433,1768527737830150062,1768527737833044797,139.7937,0.0326,2.8947,142.7211,0.200000,0.000000
16,nav2,1768527737773229761,1768527737857126992,1768527737857160140,1768527737859357944,83.8972,0.0331,2.1978,86.1282,0.200000,0.000000
17,nav2,1768527737815038869,1768527737886108425,1768527737886143462,1768527737912984575,71.0696,0.0350,26.8411,97.9457,0.200000,0.000000
18,nav2,1768527737836596528,1768527737901620337,1768527737901666262,1768527737913380903,65.0238,0.0459,11.7146,76.7844,0.200000,0.000000
19,nav2,1768527737918124334,1768527737983932949,1768527737983987134,1768527737987350350,65.8086,0.0542,3.3632,69.2260,0.200000,0.000000
20,nav2,1768527737960707071,1768527737989183518,1768527737989241684,1768527737994535175,28.4764,0.0582,5.2935,33.8281,0.200000,0.000000
21,nav2,1768527737996231328,1768527738010245922,1768527738010313903,1768527738017723046,14.0146,0.0680,7.4091,21.4917,0.200000,0.000000
22,nav2,1768527738037943020,1768527738076989549,1768527738077669507,1768527738080771392,39.0465,0.6800,3.1019,42.8284,0.200000,0.000000
23,nav2,1768527738107075977,1768527738127985674,1768527738128088674,1768527738135970126,20.9097,0.1030,7.8815,28.8941,0.200000,0.000000
24,nav2,1768527738169910950,1768527738202313204,1768527738202370666,1768527738206116788,32.4023,0.0575,3.7461,36.2058,0.200000,0.000000
25,nav2,1768527738200746553,1768527738211979051,1768527738212044606,1768527738227096596,11.2325,0.0656,15.0520,26.3500,0.200000,0.000000
